season,player_id,player_name,player_key,team,position,games_used,current_season_games,prior_season_games,last_week,fantasy_mean,fantasy_std,fantasy_floor,fantasy_ceiling,fantasy_form_trend,consistency_rating,projection_confidence,opportunities_mean,skill_opportunities_mean,attempts_mean,completions_mean,passing_yards_mean,passing_tds_mean,interceptions_mean,carries_mean,rushing_yards_mean,rushing_tds_mean,targets_mean,receptions_mean,receiving_yards_mean,receiving_tds_mean,rush_rec_yards_mean,passing_rushing_yards_mean,air_yards_mean,target_share_mean,wopr_mean,season_game,week,game_date,game_time,opponent_team,is_home,team_spread,total_line,implied_team_total,game_environment_score,role_label
2026,00-0040743,Tyler Shough,tyler shough,NO,QB,8,2,11,18,20.85,2.21,17.9,22.04,0.179,90.41,97.6,42.76,5.32,37.44,26.05,287.89,1.44,0.0,5.32,21.5,0.5,0.0,0.0,0.0,0.0,21.5,309.39,0.0,0.0,0.0,2026,2,2026-09-20,13:00,BAL,0,-8.5,46.5,27.5,68.12,STARTING QB
2026,00-0034855,Baker Mayfield,baker mayfield,TB,QB,8,2,63,18,13.79,2.61,12.04,15.21,-0.249,84.09,96.02,34.9,4.04,30.86,20.8,213.42,1.07,0.0,4.04,28.21,0.16,0.0,0.0,0.0,0.0,28.21,241.63,0.0,0.0,0.0,2026,2,2026-09-20,13:00,CLE,1,8.5,41.5,16.5,36.12,STARTING QB
2026,00-0039163,C.J. Stroud,cj stroud,HOU,QB,8,2,46,18,15.58,3.66,12.33,17.08,0.043,80.99,95.25,38.41,3.02,35.4,21.61,250.94,1.25,0.0,3.02,9.82,0.15,0.0,0.0,0.0,0.0,9.82,260.76,0.0,0.0,0.0,2026,2,2026-09-20,13:00,CIN,1,3.0,46.5,21.75,55.25,STARTING QB
2026,00-0030565,Geno Smith,geno smith,NYJ,QB,8,2,64,18,11.66,2.99,9.23,14.08,-0.087,79.61,94.9,32.95,2.89,30.06,20.9,204.08,1.07,0.0,2.89,5.88,0.0,0.0,0.0,0.0,0.0,5.88,209.96,0.0,0.0,0.0,2026,2,2026-09-20,13:00,GB,1,-4.5,44.5,24.5,57.12,STARTING QB
2026,00-0039040,De'Von Achane,devon achane,MIA,RB,8,2,44,18,15.61,3.51,13.72,18.88,-0.315,81.65,94.59,19.53,19.53,0.0,0.0,0.0,0.0,0.0,15.55,78.74,0.32,3.98,3.19,26.18,0.0,104.92,78.74,0.0,0.165,0.274,2026,2,2026-09-20,16:25,SF,0,-13.5,45.5,29.5,70.5,FEATURE RB
2026,00-0031280,Derek Carr,derek carr,NO,QB,8,0,42,18,14.13,3.94,10.99,15.6,-0.027,78.21,94.55,32.06,1.77,30.29,20.1,216.93,1.3,0.0,1.77,8.19,0.0,0.0,0.0,0.0,0.0,8.19,225.12,0.0,0.0,0.0,2026,2,2026-09-20,13:00,BAL,0,-8.5,46.5,27.5,68.12,STARTING QB
2026,00-0040676,Cam Ward,cam ward,TEN,QB,8,2,17,18,14.16,4.35,10.61,17.29,-0.183,76.51,94.13,28.68,2.74,25.93,15.88,160.85,1.04,0.0,2.74,9.74,0.51,0.0,0.0,0.0,0.0,9.74,170.59,0.0,0.0,0.0,2026,2,2026-09-20,13:00,PHI,1,-7.0,39.5,23.25,45.25,QB
2026,00-0033119,Jacoby Brissett,jacoby brissett,ARI,QB,8,2,37,18,14.75,4.68,14.37,19.19,-0.19,75.91,93.98,37.52,2.59,34.93,22.36,220.5,1.64,0.0,2.59,10.6,0.0,0.0,0.0,0.0,0.0,10.6,231.1,0.0,0.0,0.0,2026,2,2026-09-20,16:25,SEA,1,-3.5,40.5,22.0,43.88,STARTING QB
2026,00-0036442,Joe Burrow,joe burrow,CIN,QB,8,2,51,18,18.4,6.14,15.68,21.7,-0.062,74.97,93.74,37.62,2.34,35.28,24.49,256.31,2.19,0.0,2.34,7.65,0.0,0.0,0.0,0.0,0.0,7.65,263.96,0.0,0.0,0.0,2026,2,2026-09-20,13:00,HOU,0,-3.0,46.5,24.75,61.25,STARTING QB
2026,00-0038597,Chase Brown,chase brown,CIN,RB,8,2,45,18,20.15,6.84,17.73,21.52,-0.372,74.66,93.67,21.06,21.06,0.0,0.0,0.0,0.0,0.0,15.87,68.2,0.63,5.19,4.29,24.28,0.47,92.48,68.2,0.0,0.149,0.213,2026,2,2026-09-20,13:00,HOU,0,-3.0,46.5,24.75,61.25,FEATURE RB
2026,00-0033280,Christian McCaffrey,christian mccaffrey,SF,RB,8,2,54,18,20.63,7.13,15.22,27.43,-0.37,74.32,93.58,21.64,21.55,0.09,0.0,0.0,0.0,0.0,15.81,69.32,0.75,5.74,4.6,31.85,0.23,101.17,69.32,0.0,0.198,0.336,2026,2,2026-09-20,16:25,MIA,1,13.5,45.5,16.0,43.5,FEATURE RB
2026,00-0039910,Jayden Daniels,jayden daniels,WAS,QB,8,2,24,18,15.12,5.55,15.1,18.23,-0.357,73.14,93.29,32.09,7.14,24.95,14.72,149.91,1.16,0.0,7.14,40.53,0.25,0.0,0.0,0.0,0.0,40.53,190.44,0.0,0.0,0.0,2026,2,2026-09-20,16:25,DAL,0,-4.5,50.5,27.5,75.12,QB
2026,00-0039150,Bryce Young,bryce young,CAR,QB,8,2,46,18,19.24,7.43,13.78,22.92,0.719,72.15,93.04,34.74,3.9,30.84,19.85,225.69,1.99,0.0,3.9,16.55,0.3,0.0,0.0,0.0,0.0,16.55,242.24,0.0,0.0,0.0,2026,2,2026-09-20,13:00,ATL,0,2.5,43.5,20.5,46.62,STARTING QB
2026,00-0033537,Deshaun Watson,deshaun watson,CLE,QB,8,2,19,18,12.45,4.89,8.41,15.69,0.337,71.8,92.95,31.63,4.93,26.7,18.84,180.11,0.91,0.0,4.93,20.98,0.07,0.0,0.0,0.0,0.0,20.98,201.09,0.0,0.0,0.0,2026,2,2026-09-20,13:00,TB,0,-8.5,41.5,25.0,53.12,QB
2026,00-0036223,Jonathan Taylor,jonathan taylor,IND,RB,8,2,52,18,17.88,7.7,12.68,19.32,0.27,69.9,92.47,23.57,23.57,0.0,0.0,0.0,0.0,0.0,19.99,72.33,1.02,3.58,2.77,22.55,0.0,94.88,72.33,0.0,0.123,0.183,2026,2,2026-09-20,20:20,KC,0,-6.5,46.5,26.5,65.62,FEATURE RB
2026,00-0039732,Bo Nix,bo nix,DEN,QB,8,2,34,18,14.86,6.41,13.22,17.2,-0.528,69.86,92.47,39.39,5.35,34.05,22.62,231.26,1.07,0.0,5.35,18.97,0.22,0.0,0.0,0.0,0.0,18.97,250.23,0.0,0.0,0.0,2026,2,2026-09-20,16:05,JAC,1,2.5,45.5,21.5,52.62,STARTING QB
2026,00-0039361,Bucky Irving,bucky irving,TB,RB,8,2,27,18,12.54,4.49,8.25,16.1,0.877,73.62,92.39,19.42,19.42,0.0,0.0,0.0,0.0,0.0,15.76,61.92,0.23,3.66,3.09,16.6,0.09,78.52,61.92,0.0,0.12,0.151,2026,2,2026-09-20,13:00,CLE,1,8.5,41.5,16.5,36.12,FEATURE RB
2026,00-0040691,Jaxson Dart,jaxson dart,NYG,QB,8,1,14,18,20.0,8.75,18.69,26.36,1.0,69.57,92.39,35.05,6.93,28.11,19.33,191.31,1.34,0.0,6.93,42.06,0.54,0.0,0.0,0.0,0.0,42.06,233.37,0.0,0.0,0.0,2026,2,2026-09-21,20:15,LAR,0,-7.0,47.5,27.25,69.25,STARTING QB
2026,00-0036264,Jordan Love,jordan love,GB,QB,8,2,51,18,14.82,6.5,12.12,19.32,-0.371,69.52,92.38,30.68,1.89,28.8,16.63,212.9,1.72,0.0,1.89,6.97,0.0,0.0,0.0,0.0,0.0,6.97,219.88,0.0,0.0,0.0,2026,2,2026-09-20,13:00,NYJ,0,4.5,44.5,20.0,48.12,STARTING QB
2026,00-0033873,Patrick Mahomes,patrick mahomes,KC,QB,8,2,63,18,18.58,8.15,12.42,23.49,0.206,69.5,92.38,40.11,3.78,36.34,21.63,255.79,1.42,0.0,3.64,24.04,0.31,0.13,0.13,-1.33,0.0,22.71,279.82,0.0,0.005,0.004,2026,2,2026-09-20,20:20,IND,1,6.5,46.5,20.0,52.62,STARTING QB
2026,00-0036389,Jalen Hurts,jalen hurts,PHI,QB,8,2,63,18,17.36,7.73,14.35,23.35,0.114,69.19,92.3,35.72,5.48,30.24,18.9,206.72,1.86,0.0,5.48,26.85,0.14,0.0,0.0,0.0,0.0,26.85,233.57,0.0,0.0,0.0,2026,2,2026-09-20,13:00,TEN,0,7.0,39.5,16.25,31.25,STARTING QB
2026,00-0036971,Trevor Lawrence,trevor lawrence,JAC,QB,8,2,60,18,23.28,10.37,21.09,27.37,-0.436,69.18,92.3,34.12,3.82,30.3,19.64,250.3,2.28,0.0,3.82,17.36,0.48,0.0,0.0,0.0,0.0,17.36,267.66,0.0,0.0,0.0,2026,2,2026-09-20,16:05,DEN,0,-2.5,45.5,24.0,57.62,STARTING QB
2026,00-0033106,Jared Goff,jared goff,DET,QB,8,2,68,18,19.12,8.58,15.93,25.75,0.137,69.02,92.25,40.16,1.62,38.54,25.41,289.42,2.21,0.0,1.62,3.27,0.0,0.0,0.0,0.0,0.0,3.27,292.69,0.0,0.0,0.0,2026,2,2026-09-17,20:15,BUF,0,-4.5,54.5,29.5,87.12,STARTING QB
2026,00-0039851,Drake Maye,drake maye,NE,QB,8,2,30,18,17.46,7.88,14.26,21.3,-0.562,68.9,92.22,32.92,5.45,27.46,19.57,234.29,1.45,0.0,5.45,29.63,0.2,0.0,0.0,0.0,0.0,29.63,263.92,0.0,0.0,0.0,2026,2,2026-09-20,13:00,PIT,1,5.5,41.5,18.0,38.38,QB
2026,00-0032950,Carson Wentz,carson wentz,MIN,QB,8,2,16,18,12.42,5.65,7.4,16.3,-0.295,68.72,92.18,30.48,2.61,27.87,17.52,195.49,1.13,0.0,2.61,7.72,0.0,0.0,0.0,0.0,0.0,7.72,203.21,0.0,0.0,0.0,2026,2,2026-09-20,13:00,CHI,0,-5.5,47.5,26.5,67.38,QB
2026,00-0034796,Lamar Jackson,lamar jackson,BAL,QB,8,2,58,18,15.31,6.98,7.05,20.58,0.49,68.69,92.17,27.69,4.68,23.01,14.36,215.69,1.12,0.0,4.68,25.43,0.27,0.0,0.0,0.0,0.0,25.43,241.12,0.0,0.0,0.0,2026,2,2026-09-20,13:00,NO,1,8.5,46.5,19.0,51.12,QB
2026,00-0029604,Kirk Cousins,kirk cousins,LV,QB,8,2,49,18,14.42,6.58,9.18,18.24,-0.194,68.65,92.16,33.71,2.69,31.02,19.54,206.59,1.92,0.0,2.69,-1.02,0.12,0.0,0.0,0.0,0.0,-1.02,205.57,0.0,0.0,0.0,2026,2,2026-09-20,16:05,LAC,0,-6.5,43.5,25.0,56.62,STARTING QB
2026,00-0037834,Brock Purdy,brock purdy,SF,QB,8,2,49,18,22.5,10.36,14.67,29.09,-0.418,68.47,92.12,33.7,3.99,29.7,21.96,236.78,2.3,0.0,3.99,24.18,0.53,0.0,0.0,0.0,0.0,24.18,260.96,0.0,0.0,0.0,2026,2,2026-09-20,16:25,MIA,1,13.5,45.5,16.0,43.5,STARTING QB
2026,00-0039139,Jahmyr Gibbs,jahmyr gibbs,DET,RB,8,2,49,18,21.21,9.84,11.15,25.88,0.979,68.31,92.08,23.79,23.79,0.0,0.0,0.0,0.0,0.0,17.28,64.73,0.59,6.52,5.0,41.47,0.44,106.2,64.73,0.0,0.171,0.288,2026,2,2026-09-17,20:15,BUF,0,-4.5,54.5,29.5,87.12,FEATURE RB
2026,00-0034857,Josh Allen,josh allen,BUF,QB,8,2,65,18,26.23,12.2,14.57,36.2,0.439,68.25,92.06,37.24,8.7,28.54,19.32,231.83,1.61,0.0,8.7,40.64,1.17,0.0,0.0,0.0,0.0,40.64,272.47,0.0,0.0,0.0,2026,2,2026-09-17,20:15,DET,1,4.5,54.5,25.0,78.12,STARTING QB
2026,00-0039917,Michael Penix Jr.,michael penix jr,ATL,QB,8,0,14,18,12.52,5.87,7.25,15.63,-0.086,68.09,92.02,30.77,1.79,28.97,17.2,210.65,1.06,0.0,1.79,6.67,0.0,0.0,0.0,0.0,0.0,6.67,217.32,0.0,0.0,0.0,2026,2,2026-09-20,13:00,CAR,1,-2.5,43.5,23.0,51.62,STARTING QB
2026,00-0039918,Caleb Williams,caleb williams,CHI,QB,8,2,34,18,19.34,9.4,13.57,21.5,-0.023,67.28,91.82,36.98,4.7,32.29,19.21,224.87,1.57,0.0,4.7,27.72,0.33,0.0,0.0,0.0,0.0,27.72,252.59,0.0,0.0,0.0,2026,2,2026-09-20,13:00,MIN,1,5.5,47.5,21.0,56.38,STARTING QB
2026,00-0026498,Matthew Stafford,matthew stafford,LAR,QB,8,1,57,18,18.54,9.03,12.47,24.09,-0.42,67.24,91.81,36.66,0.99,35.67,22.27,282.82,2.28,0.0,0.99,1.26,0.0,0.0,0.0,0.0,0.0,1.26,284.08,0.0,0.0,0.0,2026,2,2026-09-21,20:15,NYG,1,7.0,47.5,20.25,55.25,STARTING QB
2026,00-0035710,Daniel Jones,daniel jones,IND,QB,8,2,45,17,12.21,5.97,10.81,16.32,-0.562,67.17,91.79,30.29,2.38,27.91,17.98,196.49,1.24,0.0,2.38,11.01,0.09,0.0,0.0,0.0,0.0,11.01,207.51,0.0,0.0,0.0,2026,2,2026-09-20,20:20,KC,0,-6.5,46.5,26.5,65.62,QB
2026,00-0026143,Matt Ryan,matt ryan,IND,QB,8,0,12,15,12.62,6.27,8.99,14.13,-0.259,66.81,91.7,39.42,2.48,36.94,24.46,230.76,1.13,0.0,2.48,7.45,0.12,0.0,0.0,0.0,0.0,7.45,238.2,0.0,0.0,0.0,2026,2,2026-09-20,20:20,KC,0,-6.5,46.5,26.5,65.62,STARTING QB
2026,00-0033077,Dak Prescott,dak prescott,DAL,QB,8,2,54,18,17.32,8.83,13.79,21.12,-0.166,66.24,91.56,34.56,2.68,31.88,21.22,243.58,1.77,0.0,2.68,12.88,0.0,0.0,0.0,0.0,0.0,12.88,256.46,0.0,0.0,0.0,2026,2,2026-09-20,16:25,WAS,1,4.5,50.5,23.0,66.12,STARTING QB
2026,00-0023459,Aaron Rodgers,aaron rodgers,PIT,QB,8,2,51,18,11.96,6.11,6.49,17.16,-0.139,66.21,91.55,39.15,1.52,37.64,23.62,222.32,0.72,0.0,1.43,5.21,0.09,0.09,0.09,-0.78,0.0,4.43,227.54,0.0,0.003,0.001,2026,2,2026-09-20,13:00,NE,0,-5.5,41.5,23.5,49.38,STARTING QB
2026,00-0038579,Aidan O'Connell,aidan oconnell,LV,QB,8,0,21,18,11.33,5.8,6.26,16.29,0.01,66.14,91.54,32.23,3.01,29.22,17.93,190.67,0.9,0.0,3.01,5.52,0.12,0.0,0.0,0.0,0.0,5.52,196.19,0.0,0.0,0.0,2026,2,2026-09-20,16:05,LAC,0,-6.5,43.5,25.0,56.62,STARTING QB
2026,00-0038542,Bijan Robinson,bijan robinson,ATL,RB,8,2,51,18,22.95,11.85,10.68,30.55,-0.499,65.95,91.49,25.56,25.56,0.0,0.0,0.0,0.0,0.0,18.62,93.17,0.31,6.94,5.12,45.79,0.41,138.96,93.17,0.0,0.264,0.366,2026,2,2026-09-20,13:00,CAR,1,-2.5,43.5,23.0,51.62,FEATURE RB
